Undefined
Concert
Comedy
Multimedia
Basketball
Martial Arts
Miscellaneous
Motorsports/Racing
Football
Soccer
Tennis
Dance/Electronic
Hip-Hop/Rap
Other
Pop
Reggae
Rock
Miscellaneous Theatre
Music
Opera
Theatre
Variety
Action/Adventure
Drama
Horror
Competition
Swimming
Classical
Dance
Magic & Illusion
Animation
Science Fiction
Ceremony
Band
Choir
Chorus
Group
League
Orchestra
Quartet
Team
Tribute Band
Troupe
Added Value Vouchers
Clothing
Concession Voucher
Gift Card
Gift Certificate
Merch 3rd Party Delivered
Membership
Merchandise
Subscription
TM Gift Card
TM Gift Certificate
Actor
Artist
Athlete
Character
Choreographer
Comedian
Conductor
Dancer
Designer
Director
Driver
Individual
Magician
Mucisian
Performer
Singer/Vocalist
Speaker
Writer
Accounting/General
Demo
Exchange
Guide
In-Store Pickup
International Online Order
Magazine Mail Merchandise
Nonticket
Priority Mail
Ticketfast Order
TVN
UPS
Audio/Visual
Award Show
Charity/Benefit
Children's Festival
Convention
Cruise
Ensemble
Especiales
Exhibit
Expo
Fan Experiences
Festival
Graduation/Commencement
Lecture/Seminar
Parade
Party/Gala
Race
Sightseeing/Facility
Student Festival
Swap Meet/Market
Test Event
Tour
Touring Show/Production
Virtual
Amusement Park
Aquarium
Aquatic Park
Campsite
Club
Ice Rink
Museum
Zoo
Audio Tour
CD
Club Access
Concession Voucher
Dinner Packages
Hotel Package
iTunes Download
Lockers
Meal Package
Merchandise Voucher
Parking
Room Package
Special Entry
Upsell
Voucher
FastLane Access
Reserved Lawn Access
Lawn Chair Rental
VIP Club Access
Transportation
Premier
Other (inc. RV, oversized)
Donation
Casino/Gaming
Community/Civic
Community/Cultural
Fairs & Festivals
Family
Food & Drink
Health/Wellness
Hobby/Special Interest Expos
Holiday
Ice Shows
Psychics/Mediums/Hypnotists
Special Interest/Hobby
Aquatics
Athletic Races
Badminton
Bandy
Baseball
Biathlon
Body Building
Boxing
Cricket
Curling
Cycling
Equestrian
eSports
Extreme
Field Hockey
Fitness
Floorball
Golf
Gymnastics
Handball
Hockey
Ice Skating
Indoor Soccer
Lacrosse
Netball
Rodeo
Roller Derby
Roller Hockey
Rugby
Ski Jumping
Skiing
Softball
Squash
Surfing
Table Tennis
Toros
Track & Field
Volleyball
Waterpolo
Wrestling
Alternative
Ballads/Romantic
Blues
Chanson Francaise
Children's Music
Country
Folk
Jazz
Latin
Medieval/Renaissance
Metal
New Age
RB
Religious
World
Children's Theatre
Circus & Specialty Acts
Cultural
Espectaculo
Fashion
Fine Art
Performance Art
Puppetry
Spectacular
Arthouse
Documentary
Foreign
Urban
